Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.31     0.00     1549     0.00     0.00  datum
  0.00     15.31     0.00     1549     0.00     0.00  simple_datum
  0.00     15.31     0.00      825     0.00     0.00  identifier
  0.00     15.31     0.00      800     0.00     0.00  get_var_index
  0.00     15.31     0.00      713     0.00     0.00  is_or
  0.00     15.31     0.00      711     0.00     0.00  is_and
  0.00     15.31     0.00      711     0.00     0.00  is_named_let
  0.00     15.31     0.00      708     0.00     0.00  is_let
  0.00     15.31     0.00      692     0.00     0.00  is_let_star
  0.00     15.31     0.00      692     0.00     0.00  is_letrec
  0.00     15.31     0.00      688     0.00     0.00  is_define
  0.00     15.31     0.00      625     0.00     0.00  is_cond
  0.00     15.31     0.00      609     0.00     0.00  is_case
  0.00     15.31     0.00      605     0.00     0.00  is_quasiquote
  0.00     15.31     0.00      603     0.00     0.00  xlat_sequence
  0.00     15.31     0.00      597     0.00     0.00  number_hash
  0.00     15.31     0.00      582     0.00     0.00  compound_datum
  0.00     15.31     0.00      582     0.00     0.00  parse_list
  0.00     15.31     0.00      579     0.00     0.00  symbol_to_bound_var
  0.00     15.31     0.00      540     0.00     0.00  datum_plus
  0.00     15.31     0.00      286     0.00     0.00  mk_bound_var
  0.00     15.31     0.00      153     0.00     0.00  mk_primitive_procedure
  0.00     15.31     0.00      152     0.00     0.00  mk_list
  0.00     15.31     0.00      131     0.00     0.00  cond_predicate
  0.00     15.31     0.00      114     0.00     0.00  is_eof_object
  0.00     15.31     0.00      110     0.00     0.00  _cons_procedure_
  0.00     15.31     0.00       87     0.00     0.00  cddr
  0.00     15.31     0.00       87     0.00     0.00  extend_context
  0.00     15.31     0.00       85     0.00     0.00  add_defs_to_context
  0.00     15.31     0.00       85     0.00     0.00  lambda_sexp_body
  0.00     15.31     0.00       85     0.00     0.00  lambda_sexp_parameters
  0.00     15.31     0.00       85     0.00     0.00  mk_lambda
  0.00     15.31     0.00       85     0.00     0.00  scan_internal_defs
  0.00     15.31     0.00       78     0.00     0.00  mk_char
  0.00     15.31     0.00       76     0.00     0.00  is_improper_list
  0.00     15.31     0.00       76     0.00     0.00  mk_procedure
  0.00     15.31     0.00       73     0.00     0.00  is_delimiter
  0.00     15.31     0.00       73     0.00     0.00  is_delimiter_or_eof
  0.00     15.31     0.00       73     0.00     0.00  sexp_definition_variable
  0.00     15.31     0.00       70     0.00     0.00  cadr
  0.00     15.31     0.00       66     0.00     0.00  character
  0.00     15.31     0.00       66     0.00     0.00  is_integer
  0.00     15.31     0.00       65     0.00     0.00  define_variable
  0.00     15.31     0.00       64     0.00     0.00  mk_definition
  0.00     15.31     0.00       64     0.00     0.00  sexp_definition_value
  0.00     15.31     0.00       63     0.00     0.00  caadr
  0.00     15.31     0.00       63     0.00     0.00  cdadr
  0.00     15.31     0.00       63     0.00     0.00  define_to_lambda
  0.00     15.31     0.00       62     0.00     0.00  mk_none
  0.00     15.31     0.00       61     0.00     0.00  exp_to_name_free_exp
  0.00     15.31     0.00       58     0.00     0.00  eval
  0.00     15.31     0.00       57     0.00     0.00  global_env_define_variable
  0.00     15.31     0.00       57     0.00     0.00  if_sexp_alternative
  0.00     15.31     0.00       57     0.00     0.00  if_sexp_consequent
  0.00     15.31     0.00       57     0.00     0.00  if_sexp_predicate
  0.00     15.31     0.00       57     0.00     0.00  mk_if
  0.00     15.31     0.00       56     0.00     0.00  is_unquote
  0.00     15.31     0.00       54     0.00     0.00  read_from_file
  0.00     15.31     0.00       49     0.00     0.00  cond_actions
  0.00     15.31     0.00       49     0.00     0.00  is_cond_else_clause
  0.00     15.31     0.00       49     0.00     0.00  sequence_to_exp
  0.00     15.31     0.00       42     0.00     0.00  mk_cell_data
  0.00     15.31     0.00       37     0.00     0.00  mk_quoted
  0.00     15.31     0.00       37     0.00     0.00  mk_sexp_if
  0.00     15.31     0.00       34     0.00     0.00  _IS_NIL_procedure_
  0.00     15.31     0.00       33     0.00     0.00  _decimal
  0.00     15.31     0.00       33     0.00     0.00  decimal
  0.00     15.31     0.00       33     0.00     0.00  handle_sign
  0.00     15.31     0.00       33     0.00     0.00  is_unqoute_splicing
  0.00     15.31     0.00       32     0.00     0.00  _less_procedure_
  0.00     15.31     0.00       32     0.00     0.00  abbreviation
  0.00     15.31     0.00       32     0.00     0.00  is_number_lt
  0.00     15.31     0.00       31     0.00     0.00  _mul_procedure_
  0.00     15.31     0.00       31     0.00     0.00  is_pattern_var
  0.00     15.31     0.00       31     0.00     0.00  mk_number
  0.00     15.31     0.00       25     0.00     0.00  mk_string_type
  0.00     15.31     0.00       23     0.00     0.00  _unzip_
  0.00     15.31     0.00       23     0.00     0.00  unzip
  0.00     15.31     0.00       21     0.00     0.00  is_wildcard_pattern
  0.00     15.31     0.00       21     0.00     0.00  mk_string_with_length
  0.00     15.31     0.00       20     0.00     0.00  case_clause_datum
  0.00     15.31     0.00       20     0.00     0.00  is_char
  0.00     15.31     0.00       20     0.00     0.00  name_from_pattern_var
  0.00     15.31     0.00       19     0.00     0.00  is_string
  0.00     15.31     0.00       16     0.00     0.00  add_var_if_consistent
  0.00     15.31     0.00       16     0.00     0.00  cond_clauses
  0.00     15.31     0.00       16     0.00     0.00  cond_to_if
  0.00     15.31     0.00       16     0.00     0.00  expand_cond_clauses
  0.00     15.31     0.00       16     0.00     0.00  find
  0.00     15.31     0.00       16     0.00     0.00  let_to_combination
  0.00     15.31     0.00       16     0.00     0.00  mk_sexp_lambda
  0.00     15.31     0.00       16     0.00     0.00  rest_exps
  0.00     15.31     0.00       14     0.00     0.00  _car_procedure_
